,text,label
0,"купила через интернет магазин планшет, 4 раза поломался, с горем пополам сервисная служба,""новигатор"" списал планшет, и выдал акт о списании. В магазине ""Мобиллак"" г.ороде Кривой Рог, из меня сделали полную дуру, а потом только решили принять мой акт о списании службы ""новигатор"" сначала они сказали что вообще незнают что это за сервисная служба и разбирайтесь с ней сами!Но когда я всетаки добилась того что бы мне вернули деньгт, они сказали что нужно 7 дней для того что бы там у них чтото подтвердили.Вот прошло уже 10 дней, я звоню мне говорят что ваш запрос еще не подтвердили, и приичны неназываю. Вообщем я почти 3 месяца без планшета, без денег, и из меня делают полную идиотку!!",0
1,"После вызова пообещали приехать в "" наикратчайшие "" сроки, эти "" кратчайшие "" сроки составили 6 часов. По прибытию в дом, они зашли без каких либо "" спец "" костюмов и оборудования, в обычной одежде с обычными баллончиками, "" попшыкали "" я отдал деньги и они укатились, всё , насекомые как ели мои крошки с паркета так и едят. Оставили исключительно негативные и иногда даже смешные воспоминания.",1
2,"Уважаемый Юлмарт - мне всё равно есть ли у вас товар на складе !!! Раньше всё отлично переносилось по точкам, а сейчас нельзя .... ок, я потрачу своё время и покатаюсь по разным частям города, а вам Единица за эти ""приятные"" изменения !",1
3,"безлимитный интернет-тариф ""для ноутбука до 10 мБит/c"" по факту - 0.8 мБит/c.
подключил НА ТОМ ЖЕ стационарном оборудовании, вместо этого вон ю чего тарифа другой - ""МТС Интернет VIP 30 Гб"" - сразу стало 8-10 мБит/c))
смешно МТС! 3 раза обращался к вам в поддержку - пишете, что скорость не режете на тарифе ""для ноутбука""))))
по факту -... ",1
4,"На протяжении всего восьмого сезона в основном только отрицательные однозвездочные отзывы. Это же надо руководителям так бесцеремонно надругаться над таким замечательным проектом, это надо еще суметь так его опустить. ""Честь"" и ""хвала"" этим дядям, которые серьезный конкурс сумели превратить в выступление художественной самодеятельности. Хотя, надо заметить, что коллективы художественной самодеятельности зачастую ввступают гораздо лучше, чем нынешние конкурсанты Голоса.",1
5,"Перечислила ООО ""Паритет""деньги в феврале месяце за кресло, с тех пор на телефон и письма никто не отвечает, мошенники!!!Отправила претензию, письма на электронные адреса сотрудников фирмы, ответа нет. Пробовала сделать заказ, автоматически отправляется договор и счет на оплату, на этом обратная связь заканчивается.",0
6,"Смех! В анонсе ‘Голоса’ сказано, что в жюри МЕГАЗВЕЗДЫ????
Музыкальное образование только у Крида, а Максим пусть идет боксом занимается! Она , не имея музыкального образования суперзвезда?
Уберите ее от детей и научите одеваться соответственно ситуации
А судьи кто?",1
7,"При 100 % предоплате ( вот ведь повелась на скидку!) написали платеж подтвержден, заказ принят и после этого тишина- телефон не отвечает, на мейл тоже нет ответа. вот такая вот ""экономия"" получилась.Чтоб у Кривошеева из mi-ru online руки отсохли!",1
8,"Охранник(вернее охранница) увидев в нашей тележке несколько пустых пакетов на кассе при расчете, оставшихся у нас после того как мы с семьей набрали овощи, фрукты, демонстративно вытащила их со словами: ""Лена забери, а то у нас проблемы с упаковкой!"", передала их кассиру. Оставшиеся пустые пакеты мы всегда оставляем в тележке, а в этот раз поведение охранницы очень возмутило. Предлагаю компенсировать нехватку упаковки премией охранников, дабы не портить впечатление о положительных изменениях в самих магазинах. Чаще проводить обучение сотрудников по вежливому обслуживанию покупателей.",0
9,"Никогда в жизни не пользовался услугами ""Мегафона"", но вчера на мой адрес по почте России пришел от этой бандитской кампании счет на 4500 рублей за разговоры какой-то дамы с их симки, которую я даже в глаза ни разу не видел. Она наговорила на 450 рублей, а с меня требуют 4500. Круто! Даже бланк прислали для оплаты с реквизитами.",1
10,"Добрый день! Хочу предупредить потенциальных заказчиков ООО ""АБЦ"", что это мошенник.Фирма состоит из одного человека, Нохрин Сергей Дмитриевич-он учредитель, от директор.После того, как пройдет оплата счета перестает выходить на связь. Телефон молчит, на письма тоже не отвечает.",0
11,"Заказ у МотоСити - одна из моих жизненных ошибок... В указанные на сайте сроки не укладываются по ""техническим причинам""... В вацапе пишет какой то малолетний ХАМ. Из за срочности пришлось перезаказать в другом магазине где оказалось намного дешевле и оперативная отправка. Если от МотоСити когда нибудь придёт заказ, то отложу его в ящик с металоломом.",1
12,"Заказал нож ""цербер"" ,пришел через 39 дней, вместо обещанных 3-10, прислали абсолютно другой нож да еще и с непонятным крюком на конце, да таким что и из тряпичных ножен не вытащить.Естественно тупой как валенок и с нарисованным логотипом вместо фирменного. Не то что бумагу а и просто порезаться невозможно.Хорошо сработались сволочи вместе с когда то уважаемой почтой России.",1
13,"Здравствуйте, замечательно что я наткнулась на ваш сайт, очень хочется высказать претензии к работникам Дельта Банка. Не так давно мне на мобильный телефон позвонила девушка, представилась сотрудником Дельта Банка и в хамской форме начала объяснять что мол я вовремя не оплатила кредит,я попыталась объяснить что еще вчера погасила задолженность, а она продолжала грубо со мной общаться.После того как я не выдержала и начала хамить в ответ,она немного успокоилась и попросила номер квитанции об оплате.Может я и задержала на 1 день выплату,но это не дает право сотрудникам банков хамить клиентам. Хочу сказать,что ранее,в течении полутора года я своевременно и даже досрочно погашала задолженности!!! И что за новые правила, о которых ваш банк не удосужился предупредить, с чего вдруг к оплате прибавили комиссию в размере 10 гривен, раньше комиссия была только если оплата производилась через кассу,а теперь и через терминалы!!!!",0
14,"Поздно отзывы прочитал, были негативные, теперь пожинаю плоды. Я в числе тех, кто заплатил и не получил кода для активации игры. Закинул Купикоду за симсов и теперь утираю сопли. ""Благодаря"" таким аферистам, нормальные люди в инете не могут заработать, а пользователи получить услуги за свои кровные.",1
15,"Сегодня 10.10.2017, по улице Пятницкое шоссе д10 водитель  такси, номер РС 566 77, хендай, проехал  на пешеходном переходе в двух сантиметрах от 3 летнего ребенка. Ребенок в слезы от испуга. Муж сделал замечание водителю-чтобы соблюдал правила-в ответ нецензурная брань и агрессия со стороны водителя!После припарковал свой автомобиль возле тц ""Родник"" (р-н Митино) и пошел домой",0
16,"Забавно! Не ожидала, что я не один человек, которому стало жутко интересно узнать, чьим же это таким противным гвноголосом исполнено это гвнопроизведение, песней не назвать... А ведь с*ка же в башке мелодия прокручивает еще долго после просмотра этого ""шедевра""",1
