,id,text_n,is_sarcastic
3,8,"""Наслаждаюсь"" поездкой в данном поезде ! Я конечно всё понимаю , но видимо РЖД оставил внедрение технологий где-то в не далеком будущем для себя , просто ужас . Вагон который якобы прошел модернизацию , то есть старый советский вагон якобы был переделан под последние запросы пассажиров и что же получили мы на выходе за 11 тысяч рублей ?? Вагон... ",1
4,1465,"""Посчастливилось"" попасть в эту помойку на работу. Начну с того, что я откликнулся на вакансию работы в магазине фототехники (Юрлицо Суперфото или что-то в этом духе). В итоге по адресу оказался пристроенный к магазину-складу Плеер ру сарай, в котором под предлогом проверки у службы безопасности у меня взяли документы, а меня и ещё человек 5 повели показывать что собственно за... ",1
5,43,"""Прекрасный"" сервис! Каждый раз заказывая бутылку воды почему-то приходится её ждать 2-2,5 часа. Причём уже предоплаченную.
Я тогда вот совсем не понимаю - зачем этот ""сервис"" вообще тогда предлагается? Как особо изощрённое издевательство?",1
6,73,"""Спасибо"", что строите мцд. Хоть в часы пик могли бы не отменять элки (второй день на работу опаздываю). Прям ""праздничное"" настроение!",1
7,1935,"""Финалист"" Жора Русских петь не умеет совсем. Может только орать, драматично носиться по сцене, в наигранном ""исступлении"" топать ногами и изображать непрожитые им чувства. Избалованный смазливый щенок.
Прогнувшемуся Пресному - наше пролетарское презрение!",1
9,582,"02.09.23 заказ выехал с Екатеринбурга до Брянска.Должен прибыть 06.09.23.Сегодня 15.09.23 звоню и мне говорят что ушла посылка в Ковров!!!Какой Ковров ,если это в противоположную сторону от моего ПВЗ за 300 км,на что мне ответили ,что это лучший маршрут!!!Я так понял,что у них там авиабаза,а руководит всеми поставками санта с эльфами.У меня вопрос,а на работу они тоже зигзагами едут,чтобы топливо экономить.",1
11,604,"04.09 посылка отправлена из г.Феодосия в СПб. 11.09 должна быть в СПб,сегодня 17.09 посылка не пришла. Путешествие посылки умиляет,уже 2 была в Краснодаре,по-ходу решила весь юг России посетить. Контора скатилась в дно...расчитывать на точную дату прибытия не стоит. Наверное почта России здесь выигрывает.",1
12,619,"06.02.2024 г. сотрудник принял от меня важное отправление со сроком доставки в 2 дня, предупредив о повышенном тарифе за удаленность получателя и срочность. Спустя 10 дней отправление так и не доставлено, причин компания пояснить не может, с курьером, который якобы получил заказ для доставки тоже, но несколько раз в день мне звонят сотрудники этой компании с вопросом!!! Как лучше мое... ",1
15,385,"0890 позвонила, надо было решить вопрос по тарифу через оператора, автоответчик сообщил о том что оператора надо ждать более 10 мин. Итого более 10 мин. слушала музыку, затем короткие гудки и сброс. ""Благодарю"" за ""прекрасную"" обратную связь.",1
24,574,"13.01.2023 не работает программа, поэтому сегодня, в пятницу на старый новый год подарки ( посылки через СДЭК не выдают. Класс. Может быть тогда хотя бы доставка за ваш счёт?",1
25,215,"13.05.21 заказал такси по тарифу «комфорт», да ещё с повышенным спросом, цена была в 2,5 раза обычной. Так вот, приехала на заказ Лада Веста! На тарифе комфорт- Лада! Хорошо хоть не ВАЗ 2101 !",1
34,361,"22 мая 2022г. Оставила заявку на сайте, для перехода с Мегафона на Мтс, с сохранением номера. Еще удивилась, как удобно все сделали, что бы не приезжать в офис! Чудеса 21й век)) С самого начала все пошло не так, доставить сим-карту должны были на следующий день, я весь день просидела дома прождала, никто не приехал, операторы горячей линии говорили, что передали... ",1
